Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2021-04-15,62398.7349678441,62220.9923320709,63069.5906966992,62094.6329143272
BTC,2021-04-16,61811.8628068383,62609.2349501036,63850.2507346948,60033.5346667838
BTC,2021-04-17,60603.0838508903,61680.7762222962,62534.0284980254,60104.9390372922
BTC,2021-04-18,55246.5480901307,59900.3310273321,61118.8793854621,52148.9835438328
BTC,2021-04-19,55423.6667114473,55316.2124478785,57609.3681180061,54449.2453296336
BTC,2021-04-20,55871.9994138729,55510.2268898195,56627.8368882861,53442.8516601945
BTC,2021-04-21,55563.802699082,55981.028228265,57121.9439016309,54367.6517867463
BTC,2021-04-22,54033.3962071557,55585.6096517429,55768.3815001973,52645.6482779008
BTC,2021-04-23,49917.5696937291,53428.1089899891,53640.6101217724,47467.9120320183
BTC,2021-04-24,50110.2698314412,49942.6282233685,51422.068824585,48932.1588139391
BTC,2021-04-25,49954.530498434,50226.2539002399,51112.2923512751,49245.5074539076
BTC,2021-04-26,54293.1742021964,50033.9744117449,54398.5927883666,47105.5930680066
BTC,2021-04-27,54913.5599816018,54129.0379625267,55351.2748799926,52685.8902327102
BTC,2021-04-28,55001.4194337495,54956.3595988625,55798.661671426,53915.3548335028
BTC,2021-04-29,52897.1722244955,54907.7114693144,56458.6358118116,52748.0170069564
BTC,2021-04-30,56720.0608604508,52808.6126725199,57432.5105042194,52403.7436077167
BTC,2021-05-01,57662.7310856142,56602.3017130551,58511.2560485114,56474.8461921039
BTC,2021-05-02,56865.3413167621,57589.592558241,57999.0334603266,56123.0395077865
BTC,2021-05-03,58172.6049166518,56864.4628029914,59001.3596421217,56307.7834330741
BTC,2021-05-04,54239.5434294468,57994.0671424037,58113.1856231405,53613.5952176663
BTC,2021-05-05,57377.8654890149,54233.8173295817,57977.6134230368,52987.1586596765
BTC,2021-05-06,57003.9082105842,57334.2413028368,58368.6820919958,56433.5892739648
BTC,2021-05-07,58094.5901073389,56854.1797359084,58724.1107779691,55320.9581179986
BTC,2021-05-08,59011.0772323074,58171.954739014,59524.9147803563,57028.4980485871
BTC,2021-05-09,57418.0135894634,59055.8161357752,59575.4631145794,56494.9153343839
BTC,2021-05-10,57282.9830236615,57576.2511578189,59560.0254591057,56852.629951574
BTC,2021-05-11,56512.3005691859,57075.6940981534,57284.5302195079,53774.6282425192
BTC,2021-05-12,55132.073979665,56488.9110339924,58036.5097771205,54608.6333975846
BTC,2021-05-13,47670.1964367115,54926.7939511881,55199.9000508964,46294.7201795113
BTC,2021-05-14,50757.4052324465,48522.0395841546,51578.3125446899,47745.0821514815
BTC,2021-05-15,48208.3423876224,50682.810854747,50802.0754900716,47825.2305343965
